[K0a1|[]]
[K9n4|[[2, 9, 3, 10], [3, 16, 4, 17], [5, 1, 6, 18], [7, 12, 8, 13], [8, 1, 9, 2], [11, 6, 12, 7], [13, 10, 14, 11], [15, 4, 16, 5], [17, 15, 18, 14]]]
[K9n5|[[2, 10, 3, 9], [3, 14, 4, 15], [6, 17, 7, 18], [8, 11, 9, 12], [10, 2, 11, 1], [13, 4, 14, 5], [15, 13, 16, 12], [16, 7, 17, 8], [18, 5, 1, 6]]]
[K9n6|[[1, 15, 2, 14], [4, 17, 5, 18], [6, 16, 7, 15], [8, 4, 9, 3], [10, 5, 11, 6], [12, 8, 13, 7], [13, 3, 14, 2], [16, 11, 17, 12], [18, 10, 1, 9]]]
[K9n7|[[1, 10, 2, 11], [3, 14, 4, 15], [6, 17, 7, 18], [9, 2, 10, 3], [11, 9, 12, 8], [13, 4, 14, 5], [15, 13, 16, 12], [16, 7, 17, 8], [18, 5, 1, 6]]]
[K9n8|[[1, 15, 2, 14], [4, 12, 5, 11], [6, 16, 7, 15], [7, 3, 8, 2], [10, 18, 11, 17], [12, 4, 13, 3], [13, 9, 14, 8], [16, 6, 17, 5], [18, 10, 1, 9]]]
[K10a1|[[2, 11, 3, 12], [4, 20, 5, 19], [6, 18, 7, 17], [8, 16, 9, 15], [10, 14, 11, 13], [12, 1, 13, 2], [14, 10, 15, 9], [16, 8, 17, 7], [18, 6, 19, 5], [20, 4, 1, 3]]]
[K10a2|[[1, 13, 2, 12], [3, 14, 4, 15], [5, 3, 6, 2], [7, 17, 8, 16], [9, 19, 10, 18], [11, 1, 12, 20], [13, 4, 14, 5], [15, 7, 16, 6], [17, 9, 18, 8], [19, 11, 20, 10]]]
[K10a3|[[2, 10, 3, 9], [4, 17, 5, 18], [6, 15, 7, 16], [8, 4, 9, 3], [10, 2, 11, 1], [12, 20, 13, 19], [14, 7, 15, 8], [16, 5, 17, 6], [18, 14, 19, 13], [20, 12, 1, 11]]]
[K10a4|[[2, 13, 3, 14], [4, 11, 5, 12], [6, 20, 7, 19], [8, 18, 9, 17], [10, 16, 11, 15], [12, 1, 13, 2], [14, 3, 15, 4], [16, 10, 17, 9], [18, 8, 19, 7], [20, 6, 1, 5]]]
[K10a5|[[2, 13, 3, 14], [4, 17, 5, 18], [6, 16, 7, 15], [8, 6, 9, 5], [10, 19, 11, 20], [12, 1, 13, 2], [14, 3, 15, 4], [16, 8, 17, 7], [18, 9, 19, 10], [20, 11, 1, 12]]]
[K10a6|[[2, 11, 3, 12], [4, 16, 5, 15], [6, 18, 7, 17], [8, 20, 9, 19], [10, 14, 11, 13], [12, 1, 13, 2], [14, 10, 15, 9], [16, 6, 17, 5], [18, 8, 19, 7], [20, 4, 1, 3]]]
[K10a7|[[1, 12, 2, 13], [3, 15, 4, 14], [5, 19, 6, 18], [7, 17, 8, 16], [9, 1, 10, 20], [11, 2, 12, 3], [13, 11, 14, 10], [15, 9, 16, 8], [17, 7, 18, 6], [19, 5, 20, 4]]]
[K10a8|[[1, 12, 2, 13], [3, 10, 4, 11], [5, 15, 6, 14], [7, 17, 8, 16], [9, 19, 10, 18], [11, 2, 12, 3], [13, 20, 14, 1], [15, 7, 16, 6], [17, 9, 18, 8], [19, 5, 20, 4]]]
[K10a9|[[1, 13, 2, 12], [3, 16, 4, 17], [5, 14, 6, 15], [7, 3, 8, 2], [9, 19, 10, 18], [11, 1, 12, 20], [13, 4, 14, 5], [15, 6, 16, 7], [17, 9, 18, 8], [19, 11, 20, 10]]]
[K10a10|[[1, 11, 2, 10], [3, 18, 4, 19], [5, 16, 6, 17], [7, 14, 8, 15], [9, 13, 10, 12], [11, 3, 12, 2], [13, 20, 14, 1], [15, 6, 16, 7], [17, 4, 18, 5], [19, 8, 20, 9]]]
[K10a11|[[2, 15, 3, 16], [4, 13, 5, 14], [6, 2, 7, 1], [8, 18, 9, 17], [10, 20, 11, 19], [12, 5, 13, 6], [14, 3, 15, 4], [16, 12, 17, 11], [18, 10, 19, 9], [20, 8, 1, 7]]]
[K10a12|[[2, 11, 3, 12], [4, 18, 5, 17], [6, 13, 7, 14], [8, 19, 9, 20], [10, 1, 11, 2], [12, 7, 13, 8], [14, 5, 15, 6], [16, 4, 17, 3], [18, 16, 19, 15], [20, 9, 1, 10]]]
[K10a13|[[2, 17, 3, 18], [4, 8, 5, 7], [6, 13, 7, 14], [8, 2, 9, 1], [10, 20, 11, 19], [12, 16, 13, 15], [14, 5, 15, 6], [16, 3, 17, 4], [18, 12, 19, 11], [20, 10, 1, 9]]]
[K10a14|[[1, 14, 2, 15], [3, 17, 4, 16], [5, 11, 6, 10], [7, 19, 8, 18], [9, 1, 10, 20], [11, 5, 12, 4], [13, 2, 14, 3], [15, 13, 16, 12], [17, 7, 18, 6], [19, 9, 20, 8]]]
[K10a15|[[2, 6, 3, 5], [4, 16, 5, 15], [6, 2, 7, 1], [8, 17, 9, 18], [10, 19, 11, 20], [12, 7, 13, 8], [14, 4, 15, 3], [16, 14, 17, 13], [18, 9, 19, 10], [20, 11, 1, 12]]]
[K10a16|[[1, 10, 2, 11], [3, 15, 4, 14], [5, 17, 6, 16], [7, 19, 8, 18], [9, 2, 10, 3], [11, 20, 12, 1], [13, 9, 14, 8], [15, 7, 16, 6], [17, 5, 18, 4], [19, 12, 20, 13]]]
[K10a17|[[6, 2, 7, 1], [12, 4, 13, 3], [20, 15, 1, 16], [16, 7, 17, 8], [18, 9, 19, 10], [8, 17, 9, 18], [10, 19, 11, 20], [14, 6, 15, 5], [2, 12, 3, 11], [4, 14, 5, 13]]]
[K10a18|[[2, 14, 3, 13], [4, 10, 5, 9], [6, 17, 7, 18], [8, 15, 9, 16], [10, 20, 11, 19], [12, 2, 13, 1], [14, 12, 15, 11], [16, 7, 17, 8], [18, 5, 19, 6], [20, 4, 1, 3]]]
[K10a19|[[1, 13, 2, 12], [3, 15, 4, 14], [5, 10, 6, 11], [7, 16, 8, 17], [9, 18, 10, 19], [11, 1, 12, 20], [13, 3, 14, 2], [15, 8, 16, 9], [17, 6, 18, 7], [19, 5, 20, 4]]]
[K10a20|[[2, 8, 3, 7], [4, 15, 5, 16], [6, 4, 7, 3], [8, 2, 9, 1], [10, 18, 11, 17], [12, 20, 13, 19], [14, 5, 15, 6], [16, 14, 17, 13], [18, 12, 19, 11], [20, 10, 1, 9]]]
[K10a21|[[1, 15, 2, 14], [3, 13, 4, 12], [5, 17, 6, 16], [7, 11, 8, 10], [9, 18, 10, 19], [11, 1, 12, 20], [13, 3, 14, 2], [15, 5, 16, 4], [17, 7, 18, 6], [19, 8, 20, 9]]]
[K10a22|[[2, 11, 3, 12], [4, 18, 5, 17], [6, 16, 7, 15], [8, 14, 9, 13], [10, 1, 11, 2], [12, 19, 13, 20], [14, 6, 15, 5], [16, 8, 17, 7], [18, 4, 19, 3], [20, 9, 1, 10]]]
[K10a23|[[2, 13, 3, 14], [4, 11, 5, 12], [6, 18, 7, 17], [8, 19, 9, 20], [10, 1, 11, 2], [12, 3, 13, 4], [14, 7, 15, 8], [16, 6, 17, 5], [18, 16, 19, 15], [20, 9, 1, 10]]]
[K10a24|[[2, 14, 3, 13], [4, 10, 5, 9], [6, 17, 7, 18], [8, 6, 9, 5], [10, 4, 11, 3], [12, 20, 13, 19], [14, 2, 15, 1], [16, 7, 17, 8], [18, 12, 19, 11], [20, 16, 1, 15]]]
[K10a25|[[1, 11, 2, 10], [3, 15, 4, 14], [5, 13, 6, 12], [7, 18, 8, 19], [9, 1, 10, 20], [11, 5, 12, 4], [13, 7, 14, 6], [15, 3, 16, 2], [17, 8, 18, 9], [19, 17, 20, 16]]]
[K10a26|[[1, 12, 2, 13], [3, 14, 4, 15], [5, 17, 6, 16], [7, 19, 8, 18], [9, 1, 10, 20], [11, 4, 12, 5], [13, 2, 14, 3], [15, 11, 16, 10], [17, 9, 18, 8], [19, 7, 20, 6]]]
[K10a27|[[1, 11, 2, 10], [3, 18, 4, 19], [5, 16, 6, 17], [7, 14, 8, 15], [9, 13, 10, 12], [11, 3, 12, 2], [13, 20, 14, 1], [15, 4, 16, 5], [17, 6, 18, 7], [19, 8, 20, 9]]]
[K10a28|[[1, 9, 2, 8], [3, 16, 4, 17], [5, 14, 6, 15], [7, 11, 8, 10], [9, 3, 10, 2], [11, 20, 12, 1], [13, 18, 14, 19], [15, 4, 16, 5], [17, 6, 18, 7], [19, 12, 20, 13]]]
[K10a29|[[2, 15, 3, 16], [4, 2, 5, 1], [6, 11, 7, 12], [8, 18, 9, 17], [10, 20, 11, 19], [12, 5, 13, 6], [14, 3, 15, 4], [16, 14, 17, 13], [18, 10, 19, 9], [20, 8, 1, 7]]]
[K10a30|[[1, 14, 2, 15], [3, 17, 4, 16], [5, 11, 6, 10], [7, 19, 8, 18], [9, 1, 10, 20], [11, 5, 12, 4], [13, 2, 14, 3], [15, 13, 16, 12], [17, 9, 18, 8], [19, 7, 20, 6]]]
[K10a31|[[2, 6, 3, 5], [4, 16, 5, 15], [6, 2, 7, 1], [8, 17, 9, 18], [10, 19, 11, 20], [12, 7, 13, 8], [14, 4, 15, 3], [16, 14, 17, 13], [18, 11, 19, 12], [20, 9, 1, 10]]]
[K10a32|[[2, 14, 3, 13], [4, 10, 5, 9], [6, 15, 7, 16], [8, 17, 9, 18], [10, 20, 11, 19], [12, 2, 13, 1], [14, 12, 15, 11], [16, 7, 17, 8], [18, 5, 19, 6], [20, 4, 1, 3]]]
[K10a33|[[6, 2, 7, 1], [14, 6, 15, 5], [20, 15, 1, 16], [16, 7, 17, 8], [8, 19, 9, 20], [18, 9, 19, 10], [10, 17, 11, 18], [2, 14, 3, 13], [12, 4, 13, 3], [4, 12, 5, 11]]]
[K10a34|[[1, 7, 2, 6], [3, 14, 4, 15], [5, 9, 6, 8], [7, 3, 8, 2], [9, 20, 10, 1], [11, 18, 12, 19], [13, 16, 14, 17], [15, 4, 16, 5], [17, 12, 18, 13], [19, 10, 20, 11]]]
[K10a35|[[1, 11, 2, 10], [3, 18, 4, 19], [5, 3, 6, 2], [7, 14, 8, 15], [9, 12, 10, 13], [11, 1, 12, 20], [13, 8, 14, 9], [15, 6, 16, 7], [17, 4, 18, 5], [19, 17, 20, 16]]]
[K10a36|[[2, 15, 3, 16], [4, 14, 5, 13], [6, 12, 7, 11], [8, 18, 9, 17], [10, 8, 11, 7], [12, 6, 13, 5], [14, 20, 15, 19], [16, 1, 17, 2], [18, 10, 19, 9], [20, 4, 1, 3]]]
[K10a37|[[4, 2, 5, 1], [10, 4, 11, 3], [12, 8, 13, 7], [8, 12, 9, 11], [18, 15, 19, 16], [16, 5, 17, 6], [6, 17, 7, 18], [20, 13, 1, 14], [14, 19, 15, 20], [2, 10, 3, 9]]]
